,fecha,estado,casos
0,2020-01-01,1,0
1,2020-01-01,2,0
2,2020-01-01,3,0
3,2020-01-01,4,0
4,2020-01-01,5,0
5,2020-01-01,6,0
6,2020-01-01,7,0
7,2020-01-01,8,0
8,2020-01-01,9,0
9,2020-01-01,10,0
10,2020-01-01,11,0
11,2020-01-01,12,0
12,2020-01-01,13,0
13,2020-01-01,14,0
14,2020-01-01,15,0
15,2020-01-01,16,0
16,2020-01-01,17,0
17,2020-01-01,18,0
18,2020-01-01,19,0
19,2020-01-01,20,0
20,2020-01-01,21,0
21,2020-01-01,22,0
22,2020-01-01,23,0
23,2020-01-01,24,0
24,2020-01-01,25,0
25,2020-01-01,26,0
26,2020-01-01,27,0
27,2020-01-01,28,0
28,2020-01-01,29,1
29,2020-01-01,30,0
30,2020-01-01,31,0
31,2020-01-01,32,0
32,2020-01-02,1,0
33,2020-01-02,2,0
34,2020-01-02,3,0
35,2020-01-02,4,0
36,2020-01-02,5,0
37,2020-01-02,6,0
38,2020-01-02,7,0
39,2020-01-02,8,0
40,2020-01-02,9,0
41,2020-01-02,10,0
42,2020-01-02,11,0
43,2020-01-02,12,0
44,2020-01-02,13,0
45,2020-01-02,14,0
46,2020-01-02,15,0
47,2020-01-02,16,0
48,2020-01-02,17,0
49,2020-01-02,18,0
50,2020-01-02,19,0
51,2020-01-02,20,0
52,2020-01-02,21,0
53,2020-01-02,22,0
54,2020-01-02,23,0
55,2020-01-02,24,0
56,2020-01-02,25,0
57,2020-01-02,26,0
58,2020-01-02,27,0
59,2020-01-02,28,0
60,2020-01-02,29,0
61,2020-01-02,30,0
62,2020-01-02,31,0
63,2020-01-02,32,0
64,2020-01-03,1,0
65,2020-01-03,2,0
66,2020-01-03,3,0
67,2020-01-03,4,0
68,2020-01-03,5,0
69,2020-01-03,6,0
70,2020-01-03,7,0
71,2020-01-03,8,0
72,2020-01-03,9,0
73,2020-01-03,10,0
74,2020-01-03,11,0
75,2020-01-03,12,0
76,2020-01-03,13,0
77,2020-01-03,14,0
78,2020-01-03,15,0
79,2020-01-03,16,0
80,2020-01-03,17,0
81,2020-01-03,18,0
82,2020-01-03,19,0
83,2020-01-03,20,0
84,2020-01-03,21,0
85,2020-01-03,22,0
86,2020-01-03,23,0
87,2020-01-03,24,0
88,2020-01-03,25,0
89,2020-01-03,26,0
90,2020-01-03,27,0
91,2020-01-03,28,0
92,2020-01-03,29,0
93,2020-01-03,30,0
94,2020-01-03,31,0
95,2020-01-03,32,0
96,2020-01-04,1,0
97,2020-01-04,2,0
98,2020-01-04,3,0
99,2020-01-04,4,0
100,2020-01-04,5,0
101,2020-01-04,6,0
102,2020-01-04,7,0
103,2020-01-04,8,0
104,2020-01-04,9,0
105,2020-01-04,10,0
106,2020-01-04,11,0
107,2020-01-04,12,0
108,2020-01-04,13,0
109,2020-01-04,14,0
110,2020-01-04,15,0
111,2020-01-04,16,0
112,2020-01-04,17,0
113,2020-01-04,18,0
114,2020-01-04,19,0
115,2020-01-04,20,0
116,2020-01-04,21,0
117,2020-01-04,22,0
118,2020-01-04,23,0
119,2020-01-04,24,0
120,2020-01-04,25,0
121,2020-01-04,26,0
122,2020-01-04,27,0
123,2020-01-04,28,0
124,2020-01-04,29,0
125,2020-01-04,30,0
126,2020-01-04,31,0
127,2020-01-04,32,0
128,2020-01-05,1,0
129,2020-01-05,2,0
130,2020-01-05,3,0
131,2020-01-05,4,0
132,2020-01-05,5,0
133,2020-01-05,6,0
134,2020-01-05,7,0
135,2020-01-05,8,0
136,2020-01-05,9,0
137,2020-01-05,10,0
138,2020-01-05,11,0
139,2020-01-05,12,0
140,2020-01-05,13,0
141,2020-01-05,14,0
142,2020-01-05,15,0
143,2020-01-05,16,0
144,2020-01-05,17,0
145,2020-01-05,18,0
146,2020-01-05,19,0
147,2020-01-05,20,0
148,2020-01-05,21,0
149,2020-01-05,22,0
150,2020-01-05,23,0
151,2020-01-05,24,0
152,2020-01-05,25,0
153,2020-01-05,26,0
154,2020-01-05,27,0
155,2020-01-05,28,0
156,2020-01-05,29,0
157,2020-01-05,30,0
158,2020-01-05,31,0
159,2020-01-05,32,0
160,2020-01-06,1,0
161,2020-01-06,2,0
